1;Работы по разработке компьютерного программного обеспечения по дополнительному соглашению №3 к договору №3 от 15 мая 2019г.;1;;12000;12000
2;Доп.работы по настройке компьютерного программного обеспечения по дополнительному соглашению №3 к договору №3 от 15 мая 2019г.;1;;22000;22000
